Auswertung,TabZeileNeu,TabZeile,aktJahr,Schuljahr,Stichdatum,GdeNr,GemeindeGde,Gemeinde,VerwaltungskreisNr,Verwaltungskreis,SchuleNr,Schule,TrägerNr,Träger,USpracheNr,Unterrichtssprache,BildungsstufeNr,Bildungsstufe,SchultypNr,Schultyp,Anzahl_Schueler,Anzahl_Frauen,Anzahl_Ausl,Anzahl_Fremdspr,Bezeichungen_fr,GemeindeGde_fr,Gemeinde_fr,Verwaltungskreis_fr,Schule_fr,Traeger_fr,Unterrichtssprache_fr,Bildungsstufe_fr,Schultyp_fr,lat,lng
4,31,4,2012,2012/13,15.09.2012,301,Gemeinde Aarberg,Aarberg,243,Verwaltungskreis Seeland,10301,Aarberg,,-,,-,10000,Total Gemeinde,,-,657,314,63,74,franz. Bezeichnungen:,Commune d'Aarberg,Aarberg,Arrondissement administratif Seeland,Total commune d'Aarberg selon degré d'enseignement,-,-,Total de la commune,-,47.04311,7.27338
3,32,3,2012,2012/13,15.09.2012,301,Gemeinde Aarberg,Aarberg,243,Verwaltungskreis Seeland,10301,Aarberg,,-,180,Deutsch,10001,Vorschulstufe,,-,79,37,7,6,franz. Bezeichnungen:,Commune d'Aarberg,Aarberg,Arrondissement administratif Seeland,Total commune d'Aarberg selon degré d'enseignement,-,allemand,Degré préscolaire,-,47.04311,7.27338
3,32,3,2012,2012/13,15.09.2012,301,Gemeinde Aarberg,Aarberg,243,Verwaltungskreis Seeland,10301,Aarberg,,-,180,Deutsch,10002,Primarstufe,,-,273,125,33,41,franz. Bezeichnungen:,Commune d'Aarberg,Aarberg,Arrondissement administratif Seeland,Total commune d'Aarberg selon degré d'enseignement,-,allemand,Degré primaire,-,47.04311,7.27338
3,32,3,2012,2012/13,15.09.2012,301,Gemeinde Aarberg,Aarberg,243,Verwaltungskreis Seeland,10301,Aarberg,,-,180,Deutsch,10003,Sekundarstufe I,,-,305,152,23,27,franz. Bezeichnungen:,Commune d'Aarberg,Aarberg,Arrondissement administratif Seeland,Total commune d'Aarberg selon degré d'enseignement,-,allemand,Degré secondaire I,-,47.04311,7.27338
2,41,2,2012,2012/13,15.09.2012,301,Gemeinde Aarberg,Aarberg,243,Verwaltungskreis Seeland,614,Primarschule Aarberg,22,Öffentliche Schule,,-,10000,Total Schule,,-,303,149,33,40,franz. Bezeichnungen:,Commune d'Aarberg,Aarberg,Arrondissement administratif Seeland,Primarschule Aarberg,École publique,-,Total école,-,47.04311,7.27338
1,42,1,2012,2012/13,15.09.2012,301,Gemeinde Aarberg,Aarberg,243,Verwaltungskreis Seeland,614,Primarschule Aarberg,22,Öffentliche Schule,180,Deutsch,10001,Vorschulstufe,20001,Vorschulstufe,79,37,7,6,franz. Bezeichnungen:,Commune d'Aarberg,Aarberg,Arrondissement administratif Seeland,Primarschule Aarberg,École publique,allemand,Degré préscolaire,Degré préscolaire,47.04311,7.27338
1,42,1,2012,2012/13,15.09.2012,301,Gemeinde Aarberg,Aarberg,243,Verwaltungskreis Seeland,614,Primarschule Aarberg,22,Öffentliche Schule,180,Deutsch,10002,Primarstufe,20002,Regelklasse Primarstufe,224,112,26,34,franz. Bezeichnungen:,Commune d'Aarberg,Aarberg,Arrondissement administratif Seeland,Primarschule Aarberg,École publique,allemand,Degré primaire,Classes régulières degré primaire,47.04311,7.27338
2,41,2,2012,2012/13,15.09.2012,301,Gemeinde Aarberg,Aarberg,243,Verwaltungskreis Seeland,726,Real-/Sekundarschule Aarberg,22,Öffentliche Schule,,-,10000,Total Schule,,-,299,150,22,25,franz. Bezeichnungen:,Commune d'Aarberg,Aarberg,Arrondissement administratif Seeland,Real-/Sekundarschule Aarberg,École publique,-,Total école,-,47.04311,7.27338
1,42,1,2012,2012/13,15.09.2012,301,Gemeinde Aarberg,Aarberg,243,Verwaltungskreis Seeland,726,Real-/Sekundarschule Aarberg,22,Öffentliche Schule,180,Deutsch,10003,Sekundarstufe I,20005,"Realklassen, RILZ3+ und integrierte Sonderschulung",54,24,12,15,franz. Bezeichnungen:,Commune d'Aarberg,Aarberg,Arrondissement administratif Seeland,Real-/Sekundarschule Aarberg,École publique,allemand,Degré secondaire I,"Classes générales, OAIr3+ et enseignement spécialisé intégré",47.04311,7.27338
1,42,1,2012,2012/13,15.09.2012,301,Gemeinde Aarberg,Aarberg,243,Verwaltungskreis Seeland,726,Real-/Sekundarschule Aarberg,22,Öffentliche Schule,180,Deutsch,10003,Sekundarstufe I,20031,Sekundarklassen und spezielle Sekundarklassen,245,126,10,10,franz. Bezeichnungen:,Commune d'Aarberg,Aarberg,Arrondissement administratif Seeland,Real-/Sekundarschule Aarberg,École publique,allemand,Degré secondaire I,Classes secondaires (sections m et p),47.04311,7.27338
2,41,2,2012,2012/13,15.09.2012,301,Gemeinde Aarberg,Aarberg,243,Verwaltungskreis Seeland,2823,Primarschule Aarberg,22,Öffentliche Schule,,-,10000,Total Schule,,-,55,15,8,9,franz. Bezeichnungen:,Commune d'Aarberg,Aarberg,Arrondissement administratif Seeland,Primarschule Aarberg,École publique,-,Total école,-,47.04311,7.27338
1,42,1,2012,2012/13,15.09.2012,301,Gemeinde Aarberg,Aarberg,243,Verwaltungskreis Seeland,2823,Primarschule Aarberg,22,Öffentliche Schule,180,Deutsch,10002,Primarstufe,20002,Regelklasse Primarstufe,1,0,0,0,franz. Bezeichnungen:,Commune d'Aarberg,Aarberg,Arrondissement administratif Seeland,Primarschule Aarberg,École publique,allemand,Degré primaire,Classes régulières degré primaire,47.04311,7.27338
1,42,1,2012,2012/13,15.09.2012,301,Gemeinde Aarberg,Aarberg,243,Verwaltungskreis Seeland,2823,Primarschule Aarberg,22,Öffentliche Schule,180,Deutsch,10002,Primarstufe,20032,Besondere Klassen Primarstufe,48,13,7,7,franz. Bezeichnungen:,Commune d'Aarberg,Aarberg,Arrondissement administratif Seeland,Primarschule Aarberg,École publique,allemand,Degré primaire,Classes spéciales degré primaire,47.04311,7.27338
1,42,1,2012,2012/13,15.09.2012,301,Gemeinde Aarberg,Aarberg,243,Verwaltungskreis Seeland,2823,Primarschule Aarberg,22,Öffentliche Schule,180,Deutsch,10003,Sekundarstufe I,20033,Besondere Klassen Sekundarstufe I,6,2,1,2,franz. Bezeichnungen:,Commune d'Aarberg,Aarberg,Arrondissement administratif Seeland,Primarschule Aarberg,École publique,allemand,Degré secondaire I,Classes spéciales degré secondaire I,47.04311,7.27338
4,31,4,2012,2012/13,15.09.2012,321,Gemeinde Aarwangen,Aarwangen,244,Verwaltungskreis Oberaargau,10321,Aarwangen,,-,,-,10000,Total Gemeinde,,-,504,247,73,100,franz. Bezeichnungen:,Commune d'Aarwangen,Aarwangen,Arrondissement administratif Haute-Argovie,Total commune d'Aarwangen selon degré d'enseignement,-,-,Total de la commune,-,47.2400643,7.7696869
3,32,3,2012,2012/13,15.09.2012,321,Gemeinde Aarwangen,Aarwangen,244,Verwaltungskreis Oberaargau,10321,Aarwangen,,-,180,Deutsch,10001,Vorschulstufe,,-,83,46,10,22,franz. Bezeichnungen:,Commune d'Aarwangen,Aarwangen,Arrondissement administratif Haute-Argovie,Total commune d'Aarwangen selon degré d'enseignement,-,allemand,Degré préscolaire,-,47.2400643,7.7696869
3,32,3,2012,2012/13,15.09.2012,321,Gemeinde Aarwangen,Aarwangen,244,Verwaltungskreis Oberaargau,10321,Aarwangen,,-,180,Deutsch,10002,Primarstufe,,-,268,124,41,47,franz. Bezeichnungen:,Commune d'Aarwangen,Aarwangen,Arrondissement administratif Haute-Argovie,Total commune d'Aarwangen selon degré d'enseignement,-,allemand,Degré primaire,-,47.2400643,7.7696869
3,32,3,2012,2012/13,15.09.2012,321,Gemeinde Aarwangen,Aarwangen,244,Verwaltungskreis Oberaargau,10321,Aarwangen,,-,180,Deutsch,10003,Sekundarstufe I,,-,153,77,22,31,franz. Bezeichnungen:,Commune d'Aarwangen,Aarwangen,Arrondissement administratif Haute-Argovie,Total commune d'Aarwangen selon degré d'enseignement,-,allemand,Degré secondaire I,-,47.2400643,7.7696869
2,41,2,2012,2012/13,15.09.2012,321,Gemeinde Aarwangen,Aarwangen,244,Verwaltungskreis Oberaargau,2738,Kindergarten Riedgasse,22,Öffentliche Schule,,-,10000,Total Schule,,-,22,15,4,6,franz. Bezeichnungen:,Commune d'Aarwangen,Aarwangen,Arrondissement administratif Haute-Argovie,Kindergarten Riedgasse,École publique,-,Total école,-,47.24177294,7.770320891
1,42,1,2012,2012/13,15.09.2012,321,Gemeinde Aarwangen,Aarwangen,244,Verwaltungskreis Oberaargau,2738,Kindergarten Riedgasse,22,Öffentliche Schule,180,Deutsch,10001,Vorschulstufe,20001,Vorschulstufe,22,15,4,6,franz. Bezeichnungen:,Commune d'Aarwangen,Aarwangen,Arrondissement administratif Haute-Argovie,Kindergarten Riedgasse,École publique,allemand,Degré préscolaire,Degré préscolaire,47.24177294,7.770320891
2,41,2,2012,2012/13,15.09.2012,321,Gemeinde Aarwangen,Aarwangen,244,Verwaltungskreis Oberaargau,2736,Kindergarten Vorstadt,22,Öffentliche Schule,,-,10000,Total Schule,,-,22,14,1,4,franz. Bezeichnungen:,Commune d'Aarwangen,Aarwangen,Arrondissement administratif Haute-Argovie,Kindergarten Vorstadt,École publique,-,Total école,-,47.23784975,7.772006941
1,42,1,2012,2012/13,15.09.2012,321,Gemeinde Aarwangen,Aarwangen,244,Verwaltungskreis Oberaargau,2736,Kindergarten Vorstadt,22,Öffentliche Schule,180,Deutsch,10001,Vorschulstufe,20001,Vorschulstufe,22,14,1,4,franz. Bezeichnungen:,Commune d'Aarwangen,Aarwangen,Arrondissement administratif Haute-Argovie,Kindergarten Vorstadt,École publique,allemand,Degré préscolaire,Degré préscolaire,47.23784975,7.772006941
2,41,2,2012,2012/13,15.09.2012,321,Gemeinde Aarwangen,Aarwangen,244,Verwaltungskreis Oberaargau,2735,Kindergarten Waldweg,22,Öffentliche Schule,,-,10000,Total Schule,,-,20,8,2,4,franz. Bezeichnungen:,Commune d'Aarwangen,Aarwangen,Arrondissement administratif Haute-Argovie,Kindergarten Waldweg,École publique,-,Total école,-,47.23455436,7.782761208
1,42,1,2012,2012/13,15.09.2012,321,Gemeinde Aarwangen,Aarwangen,244,Verwaltungskreis Oberaargau,2735,Kindergarten Waldweg,22,Öffentliche Schule,180,Deutsch,10001,Vorschulstufe,20001,Vorschulstufe,20,8,2,4,franz. Bezeichnungen:,Commune d'Aarwangen,Aarwangen,Arrondissement administratif Haute-Argovie,Kindergarten Waldweg,École publique,allemand,Degré préscolaire,Degré préscolaire,47.23455436,7.782761208
2,41,2,2012,2012/13,15.09.2012,321,Gemeinde Aarwangen,Aarwangen,244,Verwaltungskreis Oberaargau,2737,Schulhaus Dorf Aarwangen,22,Öffentliche Schule,,-,10000,Total Schule,,-,199,88,28,36,franz. Bezeichnungen:,Commune d'Aarwangen,Aarwangen,Arrondissement administratif Haute-Argovie,Schulhaus Dorf Aarwangen,École publique,-,Total école,-,47.23964834,7.770375657
1,42,1,2012,2012/13,15.09.2012,321,Gemeinde Aarwangen,Aarwangen,244,Verwaltungskreis Oberaargau,2737,Schulhaus Dorf Aarwangen,22,Öffentliche Schule,180,Deutsch,10001,Vorschulstufe,20001,Vorschulstufe,19,9,3,8,franz. Bezeichnungen:,Commune d'Aarwangen,Aarwangen,Arrondissement administratif Haute-Argovie,Schulhaus Dorf Aarwangen,École publique,allemand,Degré préscolaire,Degré préscolaire,47.23964834,7.770375657
1,42,1,2012,2012/13,15.09.2012,321,Gemeinde Aarwangen,Aarwangen,244,Verwaltungskreis Oberaargau,2737,Schulhaus Dorf Aarwangen,22,Öffentliche Schule,180,Deutsch,10002,Primarstufe,20002,Regelklasse Primarstufe,180,79,25,28,franz. Bezeichnungen:,Commune d'Aarwangen,Aarwangen,Arrondissement administratif Haute-Argovie,Schulhaus Dorf Aarwangen,École publique,allemand,Degré primaire,Classes régulières degré primaire,47.23964834,7.770375657
2,41,2,2012,2012/13,15.09.2012,321,Gemeinde Aarwangen,Aarwangen,244,Verwaltungskreis Oberaargau,571,Volksschule Aarwangen,22,Öffentliche Schule,,-,10000,Total Schule,,-,241,122,38,50,franz. Bezeichnungen:,Commune d'Aarwangen,Aarwangen,Arrondissement administratif Haute-Argovie,Volksschule Aarwangen,École publique,-,Total école,-,47.23591584,7.768236628
1,42,1,2012,2012/13,15.09.2012,321,Gemeinde Aarwangen,Aarwangen,244,Verwaltungskreis Oberaargau,571,Volksschule Aarwangen,22,Öffentliche Schule,180,Deutsch,10002,Primarstufe,20002,Regelklasse Primarstufe,88,45,16,19,franz. Bezeichnungen:,Commune d'Aarwangen,Aarwangen,Arrondissement administratif Haute-Argovie,Volksschule Aarwangen,École publique,allemand,Degré primaire,Classes régulières degré primaire,47.23591584,7.768236628
1,42,1,2012,2012/13,15.09.2012,321,Gemeinde Aarwangen,Aarwangen,244,Verwaltungskreis Oberaargau,571,Volksschule Aarwangen,22,Öffentliche Schule,180,Deutsch,10003,Sekundarstufe I,20005,"Realklassen, RILZ3+ und integrierte Sonderschulung",85,40,19,26,franz. Bezeichnungen:,Commune d'Aarwangen,Aarwangen,Arrondissement administratif Haute-Argovie,Volksschule Aarwangen,École publique,allemand,Degré secondaire I,"Classes générales, OAIr3+ et enseignement spécialisé intégré",47.23591584,7.768236628
1,42,1,2012,2012/13,15.09.2012,321,Gemeinde Aarwangen,Aarwangen,244,Verwaltungskreis Oberaargau,571,Volksschule Aarwangen,22,Öffentliche Schule,180,Deutsch,10003,Sekundarstufe I,20031,Sekundarklassen und spezielle Sekundarklassen,68,37,3,5,franz. Bezeichnungen:,Commune d'Aarwangen,Aarwangen,Arrondissement administratif Haute-Argovie,Volksschule Aarwangen,École publique,allemand,Degré secondaire I,Classes secondaires (sections m et p),47.23591584,7.768236628
4,31,4,2012,2012/13,15.09.2012,561,Gemeinde Adelboden,Adelboden,249,Verwaltungskreis Frutigen-Niedersimmental,10561,Adelboden,,-,,-,10000,Total Gemeinde,,-,403,201,21,14,franz. Bezeichnungen:,Commune d'Adelboden,Adelboden,Arrondissement administratif Frutigen et Bas-Simmental,Total commune d'Adelboden selon degré d'enseignement,-,-,Total de la commune,-,46.4927778,7.5604713
3,32,3,2012,2012/13,15.09.2012,561,Gemeinde Adelboden,Adelboden,249,Verwaltungskreis Frutigen-Niedersimmental,10561,Adelboden,,-,180,Deutsch,10001,Vorschulstufe,,-,65,35,2,2,franz. Bezeichnungen:,Commune d'Adelboden,Adelboden,Arrondissement administratif Frutigen et Bas-Simmental,Total commune d'Adelboden selon degré d'enseignement,-,allemand,Degré préscolaire,-,46.4927778,7.5604713
3,32,3,2012,2012/13,15.09.2012,561,Gemeinde Adelboden,Adelboden,249,Verwaltungskreis Frutigen-Niedersimmental,10561,Adelboden,,-,180,Deutsch,10002,Primarstufe,,-,216,114,14,8,franz. Bezeichnungen:,Commune d'Adelboden,Adelboden,Arrondissement administratif Frutigen et Bas-Simmental,Total commune d'Adelboden selon degré d'enseignement,-,allemand,Degré primaire,-,46.4927778,7.5604713
3,32,3,2012,2012/13,15.09.2012,561,Gemeinde Adelboden,Adelboden,249,Verwaltungskreis Frutigen-Niedersimmental,10561,Adelboden,,-,180,Deutsch,10003,Sekundarstufe I,,-,122,52,5,4,franz. Bezeichnungen:,Commune d'Adelboden,Adelboden,Arrondissement administratif Frutigen et Bas-Simmental,Total commune d'Adelboden selon degré d'enseignement,-,allemand,Degré secondaire I,-,46.4927778,7.5604713
2,41,2,2012,2012/13,15.09.2012,561,Gemeinde Adelboden,Adelboden,249,Verwaltungskreis Frutigen-Niedersimmental,73,Schule Adelboden Dorf,22,Öffentliche Schule,,-,10000,Total Schule,,-,106,56,14,10,franz. Bezeichnungen:,Commune d'Adelboden,Adelboden,Arrondissement administratif Frutigen et Bas-Simmental,Schule Adelboden Dorf,École publique,-,Total école,-,46.4927778,7.5604713
1,42,1,2012,2012/13,15.09.2012,561,Gemeinde Adelboden,Adelboden,249,Verwaltungskreis Frutigen-Niedersimmental,73,Schule Adelboden Dorf,22,Öffentliche Schule,180,Deutsch,10001,Vorschulstufe,20001,Vorschulstufe,22,10,2,2,franz. Bezeichnungen:,Commune d'Adelboden,Adelboden,Arrondissement administratif Frutigen et Bas-Simmental,Schule Adelboden Dorf,École publique,allemand,Degré préscolaire,Degré préscolaire,46.4927778,7.5604713
1,42,1,2012,2012/13,15.09.2012,561,Gemeinde Adelboden,Adelboden,249,Verwaltungskreis Frutigen-Niedersimmental,73,Schule Adelboden Dorf,22,Öffentliche Schule,180,Deutsch,10002,Primarstufe,20002,Regelklasse Primarstufe,84,46,12,8,franz. Bezeichnungen:,Commune d'Adelboden,Adelboden,Arrondissement administratif Frutigen et Bas-Simmental,Schule Adelboden Dorf,École publique,allemand,Degré primaire,Classes régulières degré primaire,46.4927778,7.5604713
2,41,2,2012,2012/13,15.09.2012,561,Gemeinde Adelboden,Adelboden,249,Verwaltungskreis Frutigen-Niedersimmental,70,Schulhaus Ausserschwand,22,Öffentliche Schule,,-,10000,Total Schule,,-,62,28,1,0,franz. Bezeichnungen:,Commune d'Adelboden,Adelboden,Arrondissement administratif Frutigen et Bas-Simmental,Schulhaus Ausserschwand,École publique,-,Total école,-,46.49353829,7.560373473
1,42,1,2012,2012/13,15.09.2012,561,Gemeinde Adelboden,Adelboden,249,Verwaltungskreis Frutigen-Niedersimmental,70,Schulhaus Ausserschwand,22,Öffentliche Schule,180,Deutsch,10001,Vorschulstufe,20001,Vorschulstufe,16,6,0,0,franz. Bezeichnungen:,Commune d'Adelboden,Adelboden,Arrondissement administratif Frutigen et Bas-Simmental,Schulhaus Ausserschwand,École publique,allemand,Degré préscolaire,Degré préscolaire,46.49353829,7.560373473
1,42,1,2012,2012/13,15.09.2012,561,Gemeinde Adelboden,Adelboden,249,Verwaltungskreis Frutigen-Niedersimmental,70,Schulhaus Ausserschwand,22,Öffentliche Schule,180,Deutsch,10002,Primarstufe,20002,Regelklasse Primarstufe,46,22,1,0,franz. Bezeichnungen:,Commune d'Adelboden,Adelboden,Arrondissement administratif Frutigen et Bas-Simmental,Schulhaus Ausserschwand,École publique,allemand,Degré primaire,Classes régulières degré primaire,46.49353829,7.560373473
2,41,2,2012,2012/13,15.09.2012,561,Gemeinde Adelboden,Adelboden,249,Verwaltungskreis Frutigen-Niedersimmental,818,Sek-/Realschulhaus Adelboden,22,Öffentliche Schule,,-,10000,Total Schule,,-,90,39,5,4,franz. Bezeichnungen:,Commune d'Adelboden,Adelboden,Arrondissement administratif Frutigen et Bas-Simmental,Sek-/Realschulhaus Adelboden,École publique,-,Total école,-,46.49247143,7.561349897
1,42,1,2012,2012/13,15.09.2012,561,Gemeinde Adelboden,Adelboden,249,Verwaltungskreis Frutigen-Niedersimmental,818,Sek-/Realschulhaus Adelboden,22,Öffentliche Schule,180,Deutsch,10003,Sekundarstufe I,20005,"Realklassen, RILZ3+ und integrierte Sonderschulung",25,7,5,4,franz. Bezeichnungen:,Commune d'Adelboden,Adelboden,Arrondissement administratif Frutigen et Bas-Simmental,Sek-/Realschulhaus Adelboden,École publique,allemand,Degré secondaire I,"Classes générales, OAIr3+ et enseignement spécialisé intégré",46.49247143,7.561349897
1,42,1,2012,2012/13,15.09.2012,561,Gemeinde Adelboden,Adelboden,249,Verwaltungskreis Frutigen-Niedersimmental,818,Sek-/Realschulhaus Adelboden,22,Öffentliche Schule,180,Deutsch,10003,Sekundarstufe I,20031,Sekundarklassen und spezielle Sekundarklassen,65,32,0,0,franz. Bezeichnungen:,Commune d'Adelboden,Adelboden,Arrondissement administratif Frutigen et Bas-Simmental,Sek-/Realschulhaus Adelboden,École publique,allemand,Degré secondaire I,Classes secondaires (sections m et p),46.49247143,7.561349897
2,41,2,2012,2012/13,15.09.2012,561,Gemeinde Adelboden,Adelboden,249,Verwaltungskreis Frutigen-Niedersimmental,71,Schulhaus Boden,22,Öffentliche Schule,,-,10000,Total Schule,,-,91,50,0,0,franz. Bezeichnungen:,Commune d'Adelboden,Adelboden,Arrondissement administratif Frutigen et Bas-Simmental,Schulhaus Boden,École publique,-,Total école,-,46.49208025,7.560471119
1,42,1,2012,2012/13,15.09.2012,561,Gemeinde Adelboden,Adelboden,249,Verwaltungskreis Frutigen-Niedersimmental,71,Schulhaus Boden,22,Öffentliche Schule,180,Deutsch,10001,Vorschulstufe,20001,Vorschulstufe,18,14,0,0,franz. Bezeichnungen:,Commune d'Adelboden,Adelboden,Arrondissement administratif Frutigen et Bas-Simmental,Schulhaus Boden,École publique,allemand,Degré préscolaire,Degré préscolaire,46.49208025,7.560471119
1,42,1,2012,2012/13,15.09.2012,561,Gemeinde Adelboden,Adelboden,249,Verwaltungskreis Frutigen-Niedersimmental,71,Schulhaus Boden,22,Öffentliche Schule,180,Deutsch,10002,Primarstufe,20002,Regelklasse Primarstufe,58,29,0,0,franz. Bezeichnungen:,Commune d'Adelboden,Adelboden,Arrondissement administratif Frutigen et Bas-Simmental,Schulhaus Boden,École publique,allemand,Degré primaire,Classes régulières degré primaire,46.49208025,7.560471119
1,42,1,2012,2012/13,15.09.2012,561,Gemeinde Adelboden,Adelboden,249,Verwaltungskreis Frutigen-Niedersimmental,71,Schulhaus Boden,22,Öffentliche Schule,180,Deutsch,10003,Sekundarstufe I,20005,"Realklassen, RILZ3+ und integrierte Sonderschulung",15,7,0,0,franz. Bezeichnungen:,Commune d'Adelboden,Adelboden,Arrondissement administratif Frutigen et Bas-Simmental,Schulhaus Boden,École publique,allemand,Degré secondaire I,"Classes générales, OAIr3+ et enseignement spécialisé intégré",46.49208025,7.560471119
2,41,2,2012,2012/13,15.09.2012,561,Gemeinde Adelboden,Adelboden,249,Verwaltungskreis Frutigen-Niedersimmental,72,Schulhaus Hirzboden,22,Öffentliche Schule,,-,10000,Total Schule,,-,54,28,1,0,franz. Bezeichnungen:,Commune d'Adelboden,Adelboden,Arrondissement administratif Frutigen et Bas-Simmental,Schulhaus Hirzboden,École publique,-,Total école,-,46.49261349,7.560957826
1,42,1,2012,2012/13,15.09.2012,561,Gemeinde Adelboden,Adelboden,249,Verwaltungskreis Frutigen-Niedersimmental,72,Schulhaus Hirzboden,22,Öffentliche Schule,180,Deutsch,10001,Vorschulstufe,20001,Vorschulstufe,9,5,0,0,franz. Bezeichnungen:,Commune d'Adelboden,Adelboden,Arrondissement administratif Frutigen et Bas-Simmental,Schulhaus Hirzboden,École publique,allemand,Degré préscolaire,Degré préscolaire,46.49261349,7.560957826
1,42,1,2012,2012/13,15.09.2012,561,Gemeinde Adelboden,Adelboden,249,Verwaltungskreis Frutigen-Niedersimmental,72,Schulhaus Hirzboden,22,Öffentliche Schule,180,Deutsch,10002,Primarstufe,20002,Regelklasse Primarstufe,28,17,1,0,franz. Bezeichnungen:,Commune d'Adelboden,Adelboden,Arrondissement administratif Frutigen et Bas-Simmental,Schulhaus Hirzboden,École publique,allemand,Degré primaire,Classes régulières degré primaire,46.49261349,7.560957826
1,42,1,2012,2012/13,15.09.2012,561,Gemeinde Adelboden,Adelboden,249,Verwaltungskreis Frutigen-Niedersimmental,72,Schulhaus Hirzboden,22,Öffentliche Schule,180,Deutsch,10003,Sekundarstufe I,20005,"Realklassen, RILZ3+ und integrierte Sonderschulung",17,6,0,0,franz. Bezeichnungen:,Commune d'Adelboden,Adelboden,Arrondissement administratif Frutigen et Bas-Simmental,Schulhaus Hirzboden,École publique,allemand,Degré secondaire I,"Classes générales, OAIr3+ et enseignement spécialisé intégré",46.49261349,7.560957826
4,31,4,2012,2012/13,15.09.2012,401,Gemeinde Aefligen,Aefligen,245,Verwaltungskreis Emmental,10401,Aefligen,,-,,-,10000,Total Gemeinde,,-,90,44,5,13,franz. Bezeichnungen:,Commune d'Aefligen,Aefligen,Arrondissement administratif Emmental,Total commune d'Aefligen selon degré d'enseignement,-,-,Total de la commune,-,47.0938,7.55671
3,32,3,2012,2012/13,15.09.2012,401,Gemeinde Aefligen,Aefligen,245,Verwaltungskreis Emmental,10401,Aefligen,,-,180,Deutsch,10001,Vorschulstufe,,-,21,4,0,2,franz. Bezeichnungen:,Commune d'Aefligen,Aefligen,Arrondissement administratif Emmental,Total commune d'Aefligen selon degré d'enseignement,-,allemand,Degré préscolaire,-,47.0938,7.55671
3,32,3,2012,2012/13,15.09.2012,401,Gemeinde Aefligen,Aefligen,245,Verwaltungskreis Emmental,10401,Aefligen,,-,180,Deutsch,10002,Primarstufe,,-,60,33,5,10,franz. Bezeichnungen:,Commune d'Aefligen,Aefligen,Arrondissement administratif Emmental,Total commune d'Aefligen selon degré d'enseignement,-,allemand,Degré primaire,-,47.0938,7.55671
3,32,3,2012,2012/13,15.09.2012,401,Gemeinde Aefligen,Aefligen,245,Verwaltungskreis Emmental,10401,Aefligen,,-,180,Deutsch,10003,Sekundarstufe I,,-,9,7,0,1,franz. Bezeichnungen:,Commune d'Aefligen,Aefligen,Arrondissement administratif Emmental,Total commune d'Aefligen selon degré d'enseignement,-,allemand,Degré secondaire I,-,47.0938,7.55671
2,41,2,2012,2012/13,15.09.2012,401,Gemeinde Aefligen,Aefligen,245,Verwaltungskreis Emmental,482,"Kindergarten, Primar- und Realschule Aefligen",22,Öffentliche Schule,,-,10000,Total Schule,,-,90,44,5,13,franz. Bezeichnungen:,Commune d'Aefligen,Aefligen,Arrondissement administratif Emmental,"Kindergarten, Primar- und Realschule Aefligen",École publique,-,Total école,-,47.09670331,7.553579107
1,42,1,2012,2012/13,15.09.2012,401,Gemeinde Aefligen,Aefligen,245,Verwaltungskreis Emmental,482,"Kindergarten, Primar- und Realschule Aefligen",22,Öffentliche Schule,180,Deutsch,10001,Vorschulstufe,20001,Vorschulstufe,21,4,0,2,franz. Bezeichnungen:,Commune d'Aefligen,Aefligen,Arrondissement administratif Emmental,"Kindergarten, Primar- und Realschule Aefligen",École publique,allemand,Degré préscolaire,Degré préscolaire,47.09670331,7.553579107
1,42,1,2012,2012/13,15.09.2012,401,Gemeinde Aefligen,Aefligen,245,Verwaltungskreis Emmental,482,"Kindergarten, Primar- und Realschule Aefligen",22,Öffentliche Schule,180,Deutsch,10002,Primarstufe,20002,Regelklasse Primarstufe,60,33,5,10,franz. Bezeichnungen:,Commune d'Aefligen,Aefligen,Arrondissement administratif Emmental,"Kindergarten, Primar- und Realschule Aefligen",École publique,allemand,Degré primaire,Classes régulières degré primaire,47.09670331,7.553579107
1,42,1,2012,2012/13,15.09.2012,401,Gemeinde Aefligen,Aefligen,245,Verwaltungskreis Emmental,482,"Kindergarten, Primar- und Realschule Aefligen",22,Öffentliche Schule,180,Deutsch,10003,Sekundarstufe I,20005,"Realklassen, RILZ3+ und integrierte Sonderschulung",9,7,0,1,franz. Bezeichnungen:,Commune d'Aefligen,Aefligen,Arrondissement administratif Emmental,"Kindergarten, Primar- und Realschule Aefligen",École publique,allemand,Degré secondaire I,"Classes générales, OAIr3+ et enseignement spécialisé intégré",47.09670331,7.553579107
4,31,4,2012,2012/13,15.09.2012,731,Gemeinde Aegerten,Aegerten,242,Verwaltungskreis Biel/Bienne,10731,Aegerten,,-,,-,10000,Total Gemeinde,,-,115,51,15,42,franz. Bezeichnungen:,Commune d'Aegerten,Aegerten,Arrondissement administratif Biel/Bienne,Total commune d'Aegerten selon degré d'enseignement,-,-,Total de la commune,-,47.1214858,7.2885717
3,32,3,2012,2012/13,15.09.2012,731,Gemeinde Aegerten,Aegerten,242,Verwaltungskreis Biel/Bienne,10731,Aegerten,,-,180,Deutsch,10001,Vorschulstufe,,-,33,16,1,13,franz. Bezeichnungen:,Commune d'Aegerten,Aegerten,Arrondissement administratif Biel/Bienne,Total commune d'Aegerten selon degré d'enseignement,-,allemand,Degré préscolaire,-,47.1214858,7.2885717
